
---------- Begin Simulation Statistics ----------
simSeconds                                   0.045769                       # Number of seconds simulated (Second)
system.cpu0.issueRate                        0.179307                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                              88319                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.005381                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads               124085116                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites               17165510                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses       16249293                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads                   211426                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites                  153903                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses           99141                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                   16370501                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                      106332                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu0.numRecvResp                       2753174                       # Number of received responses (Count)
system.cpu0.numRecvRespBytes                 12419787                       # Number of received response bytes (Byte)
system.cpu0.recvRespAvgBW                        0.14                       # Average bandwidth of received responses ((Byte/Cycle))
system.cpu0.recvRespAvgSize                      4.51                       # Average packet size per received response ((Byte/Count))
system.cpu0.recvRespAvgRate                      0.03                       # Average rate of received responses per cycle ((Count/Cycle))
system.cpu0.recvRespAvgRetryRate                 0.00                       # Average retry rate per received response ((Count/Count))
system.cpu0.numSendRetryResp                        0                       # Number of retry responses sent (Count)
system.cpu0.numSquashedInsts                    43250                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.timesIdled                           2286                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                         159256                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.MemDepUnit__0.insertedLoads       1631650                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores      1259571                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads        18968                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores      1007319                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.bac.fetchTargets                        0                       # Number of fetch targets created  (Count)
system.cpu0.bac.branches                      1470270                       # Number of branches that BAC encountered (Count)
system.cpu0.bac.predTakenBranches             1264198                       # Number of branches that BAC predicted taken. (Count)
system.cpu0.bac.branchesNotLastuOp                  0                       # Number of branches that fetch encountered which are not the last uOp within a macrooperation. Jump to itself. (Count)
system.cpu0.bac.branchMisspredict               15571                       # Number of mispredicted branches (Count)
system.cpu0.bac.noBranchMisspredict              1284                       # Number of non-branch instructions mispredicted (Count)
system.cpu0.bac.squashBranchDecode               1381                       # Number of branches squashed from decode (Count)
system.cpu0.bac.squashBranchCommit              14190                       # Number of branches squashed from commit (Count)
