
---------- Begin Simulation Statistics ----------
simSeconds                                   0.045079                       # Number of seconds simulated (Second)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.bac.fetchTargets                        0                       # Number of fetch targets created  (Count)
system.cpu0.bac.branches                      1454658                       # Number of branches that BAC encountered (Count)
system.cpu0.bac.predTakenBranches             1256707                       # Number of branches that BAC predicted taken. (Count)
system.cpu0.bac.branchesNotLastuOp                  0                       # Number of branches that fetch encountered which are not the last uOp within a macrooperation. Jump to itself. (Count)
system.cpu0.bac.branchMisspredict               15389                       # Number of mispredicted branches (Count)
system.cpu0.bac.noBranchMisspredict              1210                       # Number of non-branch instructions mispredicted (Count)
system.cpu0.bac.squashBranchDecode               1402                       # Number of branches squashed from decode (Count)
system.cpu0.bac.squashBranchCommit              13987                       # Number of branches squashed from commit (Count)
